State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
AndhraPradesh,Vizag,InoxCmrCentralMaddilapalem,Telugu,10:35,Executive,177₹,338,29
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,11:00,Royal,250₹,13,6
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,11:00,Executive,112₹,106,13
AndhraPradesh,Vizag,InoxVizagChitralayaMall,Telugu,11:00,Executive,177₹,122,6
Telangana,Hyderabad,PvrNexusMallKukatpallyHyderabad,Telugu,11:40,Recliner,250₹,13,3
Telangana,Hyderabad,PvrNexusMallKukatpallyHyderabad,Telugu,11:40,Classic,112₹,246,68
AndhraPradesh,Kakinada,InoxSrmtMallKakinada,Telugu,14:10,Executive,112₹,146,6
AndhraPradesh,Guntur,PvrGunturNaazCenterRoad,Telugu,14:15,Recliner,295₹,12,0
AndhraPradesh,Guntur,PvrGunturNaazCenterRoad,Telugu,14:15,Classic,177₹,150,14
AndhraPradesh,Telaprolu,PvrRipplesVijayawada,Telugu,16:20,Recliner,295₹,13,0
AndhraPradesh,Telaprolu,PvrRipplesVijayawada,Telugu,16:20,Classic,177₹,167,18
Telangana,Hyderabad,PvrCentralMallPanjagutta,Telugu,17:00,Classic,112₹,141,20
