State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,09:20,Classic,150₹,119,0
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,09:20,Prime,170₹,120,0
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,09:20,Recliner,300₹,11,0
Kerala,Kochi,PvrOberonMallKochi,Malayalam,09:30,Classic,100₹,53,0
Kerala,Kochi,PvrOberonMallKochi,Malayalam,09:30,ClassicPlus,129₹,115,9
Kerala,Kochi,PvrOberonMallKochi,Malayalam,09:30,Recliner,220₹,14,2
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Malayalam,10:00,Gold,110₹,43,5
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Malayalam,10:00,Silver,110₹,20,0
Karnataka,MangaluruMangalore,BharathCinemasMangalore,Malayalam,10:00,Special,110₹,7,0
Kerala,Kasaragod,MoviemaxCircleKasaragod,Malayalam,10:30,Max2,129₹,195,0
Kerala,Taliparamba,CrownCinemaTaliparamba,Malayalam,10:30,Crown,130₹,201,0
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,10:30,Classic,150₹,60,7
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,10:30,Prime,170₹,39,3
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,10:30,Recliner,300₹,8,2
Kerala,Kanhangad,VinayakaTheatreComplexKanhangad,Malayalam,10:30,NewVinayaka2Executive,150₹,300,48
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:40,Normal,180₹,38,4
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:40,Executive,200₹,69,6
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:40,Premium,220₹,56,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:50,RoyalRecliner,200₹,15,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:50,Club,130₹,221,9
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:50,Royal,130₹,44,20
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:50,Executive,100₹,36,0
Kerala,Trivandrum,PvrLuxeLuluTrivandrum,Malayalam,11:00,Luxe,300₹,24,0
Kerala,Trivandrum,PvrLuxeLuluTrivandrum,Malayalam,11:00,LuxePrime,400₹,18,0
Kerala,Kozhikode,RegalCinemaKozhikode,Malayalam,11:00,FirstClassSc1,200₹,95,0
Kerala,Alappuzha,KairaliSreeTheaterAlappuzha,Malayalam,11:00,Platinum,125₹,305,0
Kerala,Changanassery,AbhinayaTheatre4KTripleBeam3DChanganassery,Malayalam,11:00,Lounge,160₹,199,7
Kerala,Changanassery,AbhinayaTheatre4KTripleBeam3DChanganassery,Malayalam,11:00,Club,110₹,161,0
Kerala,Changanassery,AbhinayaTheatre4KTripleBeam3DChanganassery,Malayalam,11:00,Prime,140₹,252,0
Kerala,Kozhikode,EMaxCinemasDolbyAtmosRgbLaserCalicut,Malayalam,11:00,Audi3,160₹,151,0
Kerala,Punalur,RamrajMovies,Malayalam,11:00,Gold,100₹,221,0
Kerala,Trivandrum,HkCinemasDolbyAtmosPothencode,Malayalam,11:15,Platinum,110₹,391,0
Kerala,Pathanamthitta,TrinityMovieMaxPathanamthitta,Malayalam,11:15,Special,130₹,110,13
Kerala,Pandalam,ThrilokCinemasPandalam,Malayalam,11:15,ExecutiveClass,160₹,11,10
Kerala,Pandalam,ThrilokCinemasPandalam,Malayalam,11:15,ExecutiveClass1,150₹,86,40
Kerala,Kollam,UshaACCinemaKollam,Malayalam,11:30,Thrimurthi,140₹,492,187
Kerala,Trivandrum,AriesplexSlCinemas,Malayalam,11:30,Gold,250₹,11,10
Kerala,Trivandrum,AriesplexSlCinemas,Malayalam,11:30,Executive,150₹,142,23
Kerala,Trivandrum,AriesplexSlCinemas,Malayalam,11:30,Economy,100₹,16,0
Kerala,Pala,JoSAC2K3D71DolbySoundPala,Malayalam,11:30,RoyalCircle,140₹,286,0
Kerala,Kozhikode,SurabhiCinemasKozhikode,Malayalam,11:30,RedRuby,180₹,106,4
Kerala,Nooranad,SwathyScreensNooranad,Malayalam,11:30,Premium,150₹,310,3
Kerala,Nooranad,SwathyScreensNooranad,Malayalam,11:30,RedPlus,200₹,24,0
Kerala,Thodupuzha,SilverHillsCinemas4KLaser3DDolby71,Malayalam,11:45,Gold,230₹,16,0
Kerala,Thodupuzha,SilverHillsCinemas4KLaser3DDolby71,Malayalam,11:45,Silver,130₹,224,0
Kerala,Kattappana,SanthoshCinemaWolfAirMaskProtection,Malayalam,12:00,RoyalCircle,110₹,268,6
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,12:15,Classic,170₹,119,3
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,12:15,Prime,190₹,120,20
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,12:15,Recliner,350₹,11,0
Kerala,Kochi,PvrLuluKochi,Malayalam,12:35,Classic,110₹,57,2
Kerala,Kochi,PvrLuluKochi,Malayalam,12:35,ClassicPlus,140₹,133,35
Kerala,Kochi,PvrLuluKochi,Malayalam,12:35,Prime,160₹,143,22
Kerala,Kochi,PvrLuluKochi,Malayalam,12:35,Recliner,300₹,13,7
Kerala,Kochi,PvrOberonMallKochi,Malayalam,12:45,Classic,110₹,36,0
