State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Deesa,ShreeRamCinemaDeesa,Gujarati,12:00,Gold,100₹,207,0
Gujarat,Ahmedabad,CityGoldBapunagar,Gujarati,12:00,Executive,100₹,111,0
Gujarat,Palanpur,CitylightCoconutCinemaPalanpur,Gujarati,12:30,Golden,100₹,238,0
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,12:30,Box,150₹,8,0
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,12:30,Balcony,100₹,101,0
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,12:30,Executive,90₹,106,2
Gujarat,Ahmedabad,RupamArthCineplexSanand,Gujarati,12:30,Gold,100₹,74,0
Gujarat,Ahmedabad,RupamArthCineplexSanand,Gujarati,12:30,Silver,100₹,51,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,12:30,Royal,200₹,20,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,12:30,Platinum,160₹,36,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,12:30,Golden,140₹,36,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,12:30,Silver,120₹,33,0
Gujarat,Deesa,ShreeRamMultiplexDeesa,Gujarati,15:00,Gold,100₹,207,0
Gujarat,Palanpur,CitylightCoconutCinemaPalanpur,Gujarati,15:30,Golden,100₹,238,3
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,15:30,Box,150₹,8,0
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,15:30,Balcony,100₹,101,0
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,15:30,Executive,90₹,106,0
Gujarat,Ahmedabad,RupamArthCineplexSanand,Gujarati,15:30,Gold,100₹,74,0
Gujarat,Ahmedabad,RupamArthCineplexSanand,Gujarati,15:30,Silver,100₹,51,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,15:30,Royal,200₹,20,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,15:30,Platinum,160₹,36,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,15:30,Golden,140₹,36,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,15:30,Silver,120₹,33,0
Gujarat,Deesa,ShreeRamMultiplexDeesa,Gujarati,18:00,Gold,100₹,207,0
Gujarat,Palanpur,CitylightCoconutCinemaPalanpur,Gujarati,18:30,Golden,100₹,238,0
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,18:30,Box,150₹,8,0
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,18:30,Balcony,100₹,101,0
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,18:30,Executive,90₹,106,0
Gujarat,Kadi,CityGoldKadi,Gujarati,18:30,Box,160₹,16,0
Gujarat,Kadi,CityGoldKadi,Gujarati,18:30,Gold,140₹,140,0
Gujarat,Kadi,CityGoldKadi,Gujarati,18:30,Silver,140₹,34,0
Gujarat,Ahmedabad,RupamArthCineplexSanand,Gujarati,18:30,Gold,100₹,74,0
Gujarat,Ahmedabad,RupamArthCineplexSanand,Gujarati,18:30,Silver,100₹,51,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,18:30,Royal,200₹,20,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,18:30,Platinum,160₹,36,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,18:30,Golden,140₹,36,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,18:30,Silver,120₹,33,0
Gujarat,Ahmedabad,RevolutionMultiplexCtmAhmedabad,Gujarati,18:45,PlatinumClass,180₹,15,0
Gujarat,Ahmedabad,RevolutionMultiplexCtmAhmedabad,Gujarati,18:45,GoldenClass,150₹,40,0
Gujarat,Ahmedabad,RevolutionMultiplexCtmAhmedabad,Gujarati,18:45,SilverClass,150₹,20,0
Gujarat,Ahmedabad,CityGoldBapunagar,Gujarati,19:00,Executive,100₹,108,0
Gujarat,Deesa,ShreeRamMultiplexDeesa,Gujarati,21:00,Gold,100₹,207,0
Gujarat,Palanpur,CitylightCoconutCinemaPalanpur,Gujarati,21:30,Golden,100₹,238,0
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,21:30,Box,150₹,8,0
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,21:30,Balcony,100₹,101,0
Gujarat,Anand,KalpanaCinemaAnand,Gujarati,21:30,Executive,90₹,106,0
Gujarat,Ahmedabad,RupamArthCineplexSanand,Gujarati,21:30,Gold,100₹,74,0
Gujarat,Ahmedabad,RupamArthCineplexSanand,Gujarati,21:30,Silver,100₹,51,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,21:30,Royal,200₹,20,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,21:30,Platinum,160₹,36,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,21:30,Golden,140₹,36,0
Gujarat,Mahemdavad,RevolutionMultiplexMahemdavad,Gujarati,21:30,Silver,120₹,33,0
